Município,UF,2020,2021
,,,
Alta Floresta D'Oeste,RO,570242,734469
Ariquemes,RO,2817331,3209761
Cabixi,RO,167153,238412
Cacoal,RO,2518845,2792383
Cerejeiras,RO,600630,743037
Colorado do Oeste,RO,366922,424807
Corumbiara,RO,268353,396728
Costa Marques,RO,261944,316671
Espigão D'Oeste,RO,666321,773381
Guajará-Mirim,RO,984614,1054179
Jaru,RO,1665151,1765089
Ji-Paraná,RO,4057176,4231113
Machadinho D'Oeste,RO,700188,890320
Nova Brasilândia D'Oeste,RO,403373,548734
Ouro Preto do Oeste,RO,885132,985868
Pimenta Bueno,RO,1361160,1642516
Porto Velho,RO,19446740,20059522
Presidente Médici,RO,464090,559990
Rio Crespo,RO,133557,184430
Rolim de Moura,RO,1403499,1565194
Santa Luzia D'Oeste,RO,156765,213556
Vilhena,RO,3152560,4215046
São Miguel do Guaporé,RO,730643,905335
Nova Mamoré,RO,601843,742687
Alvorada D'Oeste,RO,289497,352628
Alto Alegre dos Parecis,RO,324519,483672
Alto Paraíso,RO,396387,510361
Buritis,RO,781528,966552
Novo Horizonte do Oeste,RO,185088,231502
Cacaulândia,RO,169146,275338
Campo Novo de Rondônia,RO,331894,369377
Candeias do Jamari,RO,562989,655606
Castanheiras,RO,80395,99627
Chupinguaia,RO,374750,468793
Cujubim,RO,431816,487480
Governador Jorge Teixeira,RO,200565,239330
Itapuã do Oeste,RO,192750,210031
Ministro Andreazza,RO,224912,297878
Mirante da Serra,RO,231662,262640
Monte Negro,RO,340931,389891
Nova União,RO,128791,157321
Parecis,RO,120815,155434
Pimenteiras do Oeste,RO,148823,246209
Primavera de Rondônia,RO,66465,107030
São Felipe D'Oeste,RO,102279,130676
São Francisco do Guaporé,RO,397745,488043
Seringueiras,RO,250586,332987
Teixeirópolis,RO,97349,121301
Theobroma,RO,213106,257426
Urupá,RO,227775,273501
Vale do Anari,RO,180702,220588
Vale do Paraíso,RO,161248,185648
Acrelândia,AC,291582,398725
Assis Brasil,AC,96315,133916
Brasiléia,AC,488072,685636
Bujari,AC,179175,300830
Capixaba,AC,144677,512353
Cruzeiro do Sul,AC,1793428,2058630
Epitaciolândia,AC,433585,644542
Feijó,AC,386502,567040
Jordão,AC,82867,113975
Mâncio Lima,AC,215662,269205
Manoel Urbano,AC,138414,184904
Marechal Thaumaturgo,AC,209775,256865
Plácido de Castro,AC,267420,601471
Porto Walter,AC,129394,160535
Rio Branco,AC,9362488,10955675
Rodrigues Alves,AC,202059,255649
Santa Rosa do Purus,AC,83424,108545
Senador Guiomard,AC,349736,779672
Sena Madureira,AC,575264,748094
Tarauacá,AC,511369,711884
Xapuri,AC,292281,454981
Porto Acre,AC,242881,471315
Alvarães,AM,194561,217333
Amaturá,AM,101934,118872
Anamã,AM,129933,138599
Anori,AM,215119,248435
Apuí,AM,271930,297810
Atalaia do Norte,AM,172713,184947
Autazes,AM,446599,506341
Barcelos,AM,208482,245622
Barreirinha,AM,313547,344890
Benjamin Constant,AM,349347,388781
Beruri,AM,182503,211871
Boa Vista do Ramos,AM,161505,182412
Boca do Acre,AM,475575,512796
Borba,AM,361457,402131
Caapiranga,AM,170630,177894
Canutama,AM,133366,154316
Carauari,AM,358945,370657
Careiro,AM,363330,395194
Careiro da Várzea,AM,374101,413374
Coari,AM,1923265,3380278
Codajás,AM,498996,531995
Eirunepé,AM,502984,568039
Envira,AM,178128,215527
Fonte Boa,AM,197036,222773
Guajará,AM,147398,177320
Humaitá,AM,780339,860168
Ipixuna,AM,193669,216519
Iranduba,AM,727697,1001862
Itacoatiara,AM,2273504,2350463
Itamarati,AM,107487,135620
Itapiranga,AM,134333,152509
Japurá,AM,63114,85809
Juruá,AM,122251,138074
Jutaí,AM,252817,266377
Lábrea,AM,556267,625199
Manacapuru,AM,1432217,1544675
Manaquiri,AM,274499,311335
Manaus,AM,91773536,103281436
Manicoré,AM,621102,686279
Maraã,AM,148824,176217
Maués,AM,565975,595827
Nhamundá,AM,185694,207005
Nova Olinda do Norte,AM,293887,341652
Novo Airão,AM,172051,186533
Novo Aripuanã,AM,219412,252422
Parintins,AM,1320369,1426984
Pauini,AM,175059,199541
Presidente Figueiredo,AM,832243,1031905
Rio Preto da Eva,AM,374196,407146
Santa Isabel do Rio Negro,AM,157256,185817
Santo Antônio do Içá,AM,208637,237314
São Gabriel da Cachoeira,AM,376603,423054
São Paulo de Olivença,AM,302085,334131
São Sebastião do Uatumã,AM,127895,136609
Silves,AM,133793,175042
Tabatinga,AM,652926,758036
Tapauá,AM,218672,239944
Tefé,AM,941046,1098392
Tonantins,AM,158633,185410
Uarini,AM,205138,229209
Urucará,AM,306779,205656
Urucurituba,AM,195752,232661
Amajari,RR,198107,240826
Alto Alegre,RR,409619,385507
Boa Vista,RR,11828926,13493364
Bonfim,RR,416440,522405
Cantá,RR,325084,353071
Caracaraí,RR,410236,453298
Caroebe,RR,227485,236788
Iracema,RR,182151,208477
Mucajaí,RR,348377,393852
Normandia,RR,194764,202859
Pacaraima,RR,290184,329092
Rorainópolis,RR,636429,732356
São João da Baliza,RR,262115,327768
São Luiz,RR,165075,178972
Uiramutã,RR,129282,143945
Abaetetuba,PA,1659693,1949341
Abel Figueiredo,PA,95863,105496
Acará,PA,881812,1433440
Afuá,PA,438582,444236
Água Azul do Norte,PA,531635,643132
Alenquer,PA,692397,745403
Almeirim,PA,627560,688370
Altamira,PA,2559968,3120219
Anajás,PA,228956,259020
Ananindeua,PA,8117175,8939830
Anapu,PA,522861,588032
Augusto Corrêa,PA,366358,363771
Aurora do Pará,PA,267915,308633
Aveiro,PA,138887,151969
Bagre,PA,233042,250548
Baião,PA,616016,562147
Bannach,PA,100723,129007
Barcarena,PA,7433645,9243937
Belém,PA,30798556,33467126
Belterra,PA,186769,237196
Benevides,PA,1677587,1986729
Bom Jesus do Tocantins,PA,208138,243883
Bonito,PA,189753,206682
Bragança,PA,1379843,1389573
Brasil Novo,PA,322791,379813
Brejo Grande do Araguaia,PA,88712,115088
Breu Branco,PA,688974,794309
Breves,PA,849150,893933
Bujaru,PA,488650,536730
Cachoeira do Piriá,PA,215937,227634
Cachoeira do Arari,PA,230595,255830
Cametá,PA,1334181,1393690
Canaã dos Carajás,PA,22503439,34989610
Capanema,PA,1230989,1427144
Capitão Poço,PA,705900,615773
Castanhal,PA,4300301,4709312
Chaves,PA,218467,248270
Colares,PA,93144,100969
Conceição do Araguaia,PA,622867,662825
Concórdia do Pará,PA,322762,420236
Cumaru do Norte,PA,408489,406927
Curionópolis,PA,644777,3667341
Curralinho,PA,267226,282512
Curuá,PA,140328,149717
Curuçá,PA,330621,369777
Dom Eliseu,PA,783667,940611
Eldorado do Carajás,PA,521578,556042
Faro,PA,63591,76730
Floresta do Araguaia,PA,414580,602623
Garrafão do Norte,PA,256719,276033
Goianésia do Pará,PA,372711,506638
Gurupá,PA,294870,334287
Igarapé-Açu,PA,379664,415894
Igarapé-Miri,PA,628526,691233
Inhangapi,PA,155877,174628
Ipixuna do Pará,PA,607746,625213
Irituia,PA,249344,278006
Itaituba,PA,2629483,3078558
Itupiranga,PA,659096,841956
Jacareacanga,PA,575748,625760
Jacundá,PA,530795,615695
Juruti,PA,1366882,1451756
Limoeiro do Ajuru,PA,484931,503051
Mãe do Rio,PA,324787,340311
Magalhães Barata,PA,93255,98432
Marabá,PA,12928283,13523145
Maracanã,PA,255647,289997
Marapanim,PA,247826,263657
Marituba,PA,2088809,2578541
Medicilândia,PA,877101,1023972
Melgaço,PA,196394,216855
Mocajuba,PA,496711,452082
Moju,PA,1267327,1348481
Mojuí dos Campos,PA,194352,288644
Monte Alegre,PA,711142,807340
Muaná,PA,322367,338764
Nova Esperança do Piriá,PA,257783,350842
Nova Ipixuna,PA,169370,192605
Nova Timboteua,PA,143838,147491
Novo Progresso,PA,828234,971539
Novo Repartimento,PA,941685,1117034
Óbidos,PA,897960,965930
Oeiras do Pará,PA,441907,419077
Oriximiná,PA,2498985,2278575
Ourém,PA,203579,200629
Ourilândia do Norte,PA,776093,1302429
Pacajá,PA,724417,867605
Palestina do Pará,PA,82696,98769
Paragominas,PA,3777041,4280508
Parauapebas,PA,38012250,49763040
Pau D'Arco,PA,97551,114870
Peixe-Boi,PA,65783,72327
Piçarra,PA,274930,292755
Placas,PA,309328,323263
Ponta de Pedras,PA,247224,275230
Portel,PA,881126,945733
Porto de Moz,PA,348933,404677
Prainha,PA,342839,442969
Primavera,PA,295838,321726
Quatipuru,PA,111330,120882
Redenção,PA,2030687,2552479
Rio Maria,PA,572062,601872
Rondon do Pará,PA,629544,734050
Rurópolis,PA,416215,496837
Salinópolis,PA,568033,641901
Salvaterra,PA,193632,210371
Santa Bárbara do Pará,PA,218844,240524
Santa Cruz do Arari,PA,81656,96043
Santa Izabel do Pará,PA,807771,935129
Santa Luzia do Pará,PA,189273,196168
Santa Maria das Barreiras,PA,736451,1072244
Santa Maria do Pará,PA,307884,371642
Santana do Araguaia,PA,1115572,1381972
Santarém,PA,5501585,6390528
Santarém Novo,PA,51036,60065
Santo Antônio do Tauá,PA,432508,475569
São Caetano de Odivelas,PA,157950,183191
São Domingos do Araguaia,PA,303527,359021
São Domingos do Capim,PA,372289,438410
São Félix do Xingu,PA,1578823,2009122
São Francisco do Pará,PA,241733,264374
São Geraldo do Araguaia,PA,600210,710684
São João da Ponta,PA,52404,57407
São João de Pirabas,PA,180274,182168
São João do Araguaia,PA,163530,186890
São Miguel do Guamá,PA,723336,793139
São Sebastião da Boa Vista,PA,228689,245028
Sapucaia,PA,114448,141176
Senador José Porfírio,PA,199567,246281
Soure,PA,217632,241803
Tailândia,PA,1078163,1291722
Terra Alta,PA,77180,83046
Terra Santa,PA,433503,519541
Tomé-Açu,PA,816244,1040635
Tracuateua,PA,295860,285330
Trairão,PA,276725,327523
Tucumã,PA,863475,984423
Tucuruí,PA,4571016,5614501
Ulianópolis,PA,1858110,1995884
Uruará,PA,717963,774530
Vigia,PA,419520,476787
Viseu,PA,620025,618568
Vitória do Xingu,PA,3833696,4230778
Xinguara,PA,1414398,1605020
Serra do Navio,AP,81422,92155
Amapá,AP,153020,159543
Pedra Branca do Amapari,AP,466649,453324
Calçoene,AP,182086,184496
Cutias,AP,87586,94625
Ferreira Gomes,AP,519153,578381
Itaubal,AP,80690,87891
Laranjal do Jari,AP,1035921,1134587
Macapá,AP,11733668,12938060
Mazagão,AP,363786,377734
Oiapoque,AP,488906,528919
Porto Grande,AP,381240,373966
Pracuúba,AP,78456,84589
Santana,AP,2345887,2512717
Tartarugalzinho,AP,246236,261938
Vitória do Jari,AP,224407,236925
Abreulândia,TO,76414,112135
Aguiarnópolis,TO,164457,165480
Aliança do Tocantins,TO,154385,616571
Almas,TO,178542,273741
Alvorada,TO,404850,474111
Ananás,TO,139737,159769
Angico,TO,41536,48276
Aparecida do Rio Negro,TO,208458,255912
Aragominas,TO,78177,98441
Araguacema,TO,258570,240246
Araguaçu,TO,273397,349050
Araguaína,TO,4752385,5239050
Araguanã,TO,77992,101858
Araguatins,TO,462123,529290
Arapoema,TO,356785,324523
Arraias,TO,195448,223310
Augustinópolis,TO,288579,305118
Aurora do Tocantins,TO,51244,58806
Axixá do Tocantins,TO,124760,141092
Babaçulândia,TO,127638,158741
Bandeirantes do Tocantins,TO,130974,178654
Barra do Ouro,TO,73105,113260
Barrolândia,TO,106923,122016
Bernardo Sayão,TO,81871,102684
Bom Jesus do Tocantins,TO,126172,139410
Brasilândia do Tocantins,TO,54967,75634
Brejinho de Nazaré,TO,222536,272945
Buriti do Tocantins,TO,116521,161641
Cachoeirinha,TO,33542,58547
Campos Lindos,TO,472482,1004931
Cariri do Tocantins,TO,394470,517715
Carmolândia,TO,45097,69222
Carrasco Bonito,TO,45464,50561
Caseara,TO,447766,389493
Centenário,TO,65315,64557
Chapada de Areia,TO,33245,39824
Chapada da Natividade,TO,91724,148973
Colinas do Tocantins,TO,787269,862139
Combinado,TO,72412,76524
Conceição do Tocantins,TO,61013,67829
Couto Magalhães,TO,130715,203473
Cristalândia,TO,183039,177294
Crixás do Tocantins,TO,62303,78645
Darcinópolis,TO,219943,241932
Dianópolis,TO,701653,644829
Divinópolis do Tocantins,TO,178811,249235
Dois Irmãos do Tocantins,TO,143261,216149
Dueré,TO,164145,204765
Esperantina,TO,106660,118724
Fátima,TO,79412,89100
Figueirópolis,TO,220167,256752
Filadélfia,TO,116825,129323
Formoso do Araguaia,TO,443862,1414038
Tabocão,TO,221618,232898
Goianorte,TO,108775,193502
Goiatins,TO,176071,230924
Guaraí,TO,730955,880403
Gurupi,TO,2543765,2648420
Ipueiras,TO,37116,47772
Itacajá,TO,119953,186260
Itaguatins,TO,72823,82611
Itapiratins,TO,115104,171522
Itaporã do Tocantins,TO,56227,69980
Jaú do Tocantins,TO,78747,97865
Juarina,TO,35909,44395
Lagoa da Confusão,TO,1040153,998445
Lagoa do Tocantins,TO,79302,89429
Lajeado,TO,66898,64405
Lavandeira,TO,30115,37870
Lizarda,TO,51927,66332
Luzinópolis,TO,121354,71180
Marianópolis do Tocantins,TO,210074,252331
Mateiros,TO,227485,252360
Maurilândia do Tocantins,TO,47576,55911
Miracema do Tocantins,TO,591151,642003
Miranorte,TO,305926,390325
Monte do Carmo,TO,230635,296288
Monte Santo do Tocantins,TO,52964,75004
Palmeiras do Tocantins,TO,80731,95357
Muricilândia,TO,57096,69465
Natividade,TO,188910,247340
Nazaré,TO,54481,58139
Nova Olinda,TO,293703,320311
Nova Rosalândia,TO,87460,100915
Novo Acordo,TO,69772,84723
Novo Alegre,TO,31030,35521
Novo Jardim,TO,36672,42672
Oliveira de Fátima,TO,23890,29469
Palmeirante,TO,133093,185349
Palmeirópolis,TO,139645,170118
Paraíso do Tocantins,TO,1445961,1513693
Paranã,TO,335255,315397
Pau D'Arco,TO,81006,91169
Pedro Afonso,TO,631761,848671
Peixe,TO,679977,733929
Pequizeiro,TO,91550,107606
Colméia,TO,166815,182796
Pindorama do Tocantins,TO,62447,85006
Piraquê,TO,69013,89940
Pium,TO,312627,361915
Ponte Alta do Bom Jesus,TO,58557,66158
Ponte Alta do Tocantins,TO,100198,121170
Porto Alegre do Tocantins,TO,39549,47043
Porto Nacional,TO,2611222,3649421
Praia Norte,TO,83479,93139
Presidente Kennedy,TO,57531,65165
Pugmil,TO,81717,82663
Recursolândia,TO,52503,91480
Riachinho,TO,55912,68536
Rio da Conceição,TO,25567,29142
Rio dos Bois,TO,63079,85928
Rio Sono,TO,87609,111443
Sampaio,TO,84869,145863
Sandolândia,TO,95556,116736
Santa Fé do Araguaia,TO,147514,175927
Santa Maria do Tocantins,TO,113437,139630
Santa Rita do Tocantins,TO,134369,180273
Santa Rosa do Tocantins,TO,236631,307685
Santa Tereza do Tocantins,TO,37859,48098
Santa Terezinha do Tocantins,TO,37116,41931
São Bento do Tocantins,TO,64306,73590
São Félix do Tocantins,TO,27244,36541
São Miguel do Tocantins,TO,167504,255814
São Salvador do Tocantins,TO,42146,49467
São Sebastião do Tocantins,TO,55143,61804
São Valério,TO,134376,156734
Silvanópolis,TO,199990,240329
Sítio Novo do Tocantins,TO,113118,132862
Sucupira,TO,110324,532374
Taguatinga,TO,248520,318253
Taipas do Tocantins,TO,30853,35246
Talismã,TO,123746,146708
Palmas,TO,9942512,10333419
Tocantínia,TO,134695,191373
Tocantinópolis,TO,343514,372642
Tupirama,TO,111732,118839
Tupiratins,TO,33577,38619
Wanderlândia,TO,149271,183424
Xambioá,TO,358297,471020
Açailândia,MA,2664608,3828780
Afonso Cunha,MA,71866,85068
Água Doce do Maranhão,MA,89545,101672
Alcântara,MA,132194,148797
Aldeias Altas,MA,211250,249450
Altamira do Maranhão,MA,61573,71526
Alto Alegre do Maranhão,MA,243765,303156
Alto Alegre do Pindaré,MA,230379,251786
Alto Parnaíba,MA,492109,578991
Amapá do Maranhão,MA,54956,70213
Amarante do Maranhão,MA,335205,388693
Anajatuba,MA,183161,207643
Anapurus,MA,141272,149133
Apicum-Açu,MA,122607,133979
Araguanã,MA,90756,101754
Araioses,MA,275900,282823
Arame,MA,252021,290362
Arari,MA,272188,313303
Axixá,MA,84159,97443
Bacabal,MA,1355117,1514711
Bacabeira,MA,352158,599322
Bacuri,MA,111632,122906
Bacurituba,MA,38205,39600
Balsas,MA,4772084,6307610
Barão de Grajaú,MA,224177,268565
Barra do Corda,MA,743643,889327
Barreirinhas,MA,502405,635796
Belágua,MA,58026,60734
Bela Vista do Maranhão,MA,85346,107575
Benedito Leite,MA,58872,73162
Bequimão,MA,133471,138140
Bernardo do Mearim,MA,54286,105126
Boa Vista do Gurupi,MA,60096,67554
Bom Jardim,MA,339522,411430
Bom Jesus das Selvas,MA,328814,375736
Bom Lugar,MA,102588,117983
Brejo,MA,332917,328697
Brejo de Areia,MA,63070,71082
Buriti,MA,238384,277995
Buriti Bravo,MA,188993,238710
Buriticupu,MA,669012,748132
Buritirana,MA,113849,122497
Cachoeira Grande,MA,56927,60992
Cajapió,MA,62942,70673
Cajari,MA,112658,128111
Campestre do Maranhão,MA,191753,214038
Cândido Mendes,MA,142327,146821
Cantanhede,MA,136097,153436
Capinzal do Norte,MA,188416,284011
Carolina,MA,493586,525940
Carutapera,MA,178216,202040
Caxias,MA,1910632,2112941
Cedral,MA,71788,78602
Central do Maranhão,MA,47013,58363
Centro do Guilherme,MA,86633,103761
Centro Novo do Maranhão,MA,154499,200805
Chapadinha,MA,793067,894509
Cidelândia,MA,174979,183588
Codó,MA,1165332,1648786
Coelho Neto,MA,386079,462763
Colinas,MA,458770,553253
Conceição do Lago-Açu,MA,133363,147232
Coroatá,MA,479587,533670
Cururupu,MA,232034,264588
Davinópolis,MA,153646,190230
Dom Pedro,MA,244025,262586
Duque Bacelar,MA,78514,86926
Esperantinópolis,MA,147479,159009
Estreito,MA,975695,1138794
Feira Nova do Maranhão,MA,88358,118019
Fernando Falcão,MA,84315,100433
Formosa da Serra Negra,MA,161476,202181
Fortaleza dos Nogueiras,MA,230288,346720
Fortuna,MA,126399,143321
Godofredo Viana,MA,1318261,2658714
Gonçalves Dias,MA,132603,150088
Governador Archer,MA,82788,91925
Governador Edison Lobão,MA,317403,375030
Governador Eugênio Barros,MA,113374,118448
Governador Luiz Rocha,MA,65982,71094
Governador Newton Bello,MA,74882,84191
Governador Nunes Freire,MA,225842,258016
Graça Aranha,MA,44898,54166
Grajaú,MA,845259,1149837
Guimarães,MA,86762,93414
Humberto de Campos,MA,168574,184411
Icatu,MA,172101,178973
Igarapé do Meio,MA,229319,370692
Igarapé Grande,MA,103945,117754
Imperatriz,MA,7193514,7693511
Itaipava do Grajaú,MA,88967,107310
Itapecuru Mirim,MA,649875,772940
Itinga do Maranhão,MA,406286,489270
Jatobá,MA,73117,75706
Jenipapo dos Vieiras,MA,107006,125762
João Lisboa,MA,233874,270665
Joselândia,MA,113915,116564
Junco do Maranhão,MA,52260,61714
Lago da Pedra,MA,422838,550477
Lago do Junco,MA,68940,86662
Lago Verde,MA,130708,135765
Lagoa do Mato,MA,84519,97026
Lago dos Rodrigues,MA,104282,83998
Lagoa Grande do Maranhão,MA,85855,102454
Lajeado Novo,MA,83822,101485
Lima Campos,MA,140740,274574
Loreto,MA,352001,413287
Luís Domingues,MA,51951,57351
Magalhães de Almeida,MA,126735,140989
Maracaçumé,MA,182456,207076
Marajá do Sena,MA,66313,90824
Maranhãozinho,MA,103860,120934
Mata Roma,MA,171207,179239
Matinha,MA,177730,196785
Matões,MA,210616,256405
Matões do Norte,MA,83813,99343
Milagres do Maranhão,MA,69362,64355
Mirador,MA,230130,277841
Miranda do Norte,MA,524180,788634
Mirinzal,MA,104861,112073
Monção,MA,238461,257693
Montes Altos,MA,71931,86501
Morros,MA,130610,149936
Nina Rodrigues,MA,82274,88539
Nova Colinas,MA,73841,86441
Nova Iorque,MA,45672,50977
Nova Olinda do Maranhão,MA,154910,183185
Olho d'Água das Cunhãs,MA,166044,188405
Olinda Nova do Maranhão,MA,93848,107307
Paço do Lumiar,MA,1086044,1240527
Palmeirândia,MA,128930,139135
Paraibano,MA,170817,183383
Parnarama,MA,280522,323004
Passagem Franca,MA,169689,200120
Pastos Bons,MA,250878,309545
Paulino Neves,MA,97062,118360
Paulo Ramos,MA,159786,194181
Pedreiras,MA,601740,787721
Pedro do Rosário,MA,154552,157904
Penalva,MA,236296,253791
Peri Mirim,MA,81167,95959
Peritoró,MA,205091,230472
Pindaré-Mirim,MA,315520,296247
Pinheiro,MA,911731,1040054
Pio XII,MA,172744,191368
Pirapemas,MA,125404,130801
Poção de Pedras,MA,142356,163110
Porto Franco,MA,693339,1026129
Porto Rico do Maranhão,MA,44287,45867
Presidente Dutra,MA,651858,755768
Presidente Juscelino,MA,84131,84499
Presidente Médici,MA,54722,60695
Presidente Sarney,MA,136491,165015
Presidente Vargas,MA,71772,76191
Primeira Cruz,MA,84103,89108
Raposa,MA,257138,286199
Riachão,MA,551246,673241
Ribamar Fiquene,MA,108713,124208
Rosário,MA,405251,443240
Sambaíba,MA,405891,474716
Santa Filomena do Maranhão,MA,54392,60216
Santa Helena,MA,308955,358032
Santa Inês,MA,1333160,1466090
Santa Luzia,MA,614228,743553
Santa Luzia do Paruá,MA,241304,253366
Santa Quitéria do Maranhão,MA,190336,218496
Santa Rita,MA,303546,354687
Santana do Maranhão,MA,94041,74107
Santo Amaro do Maranhão,MA,86384,95956
Santo Antônio dos Lopes,MA,2368471,3055591
São Benedito do Rio Preto,MA,140812,143478
São Bento,MA,286296,312229
São Bernardo,MA,260541,281230
São Domingos do Azeitão,MA,244053,320539
São Domingos do Maranhão,MA,326404,355969
São Félix de Balsas,MA,65324,86169
São Francisco do Brejão,MA,104132,121274
São Francisco do Maranhão,MA,82952,98997
São João Batista,MA,130420,135625
São João do Carú,MA,103615,123039
São João do Paraíso,MA,126096,151478
São João do Soter,MA,124754,156403
São João dos Patos,MA,300005,341012
São José de Ribamar,MA,2158301,2293966
São José dos Basílios,MA,56829,61953
São Luís,MA,33067132,36535226
São Luís Gonzaga do Maranhão,MA,143330,170085
São Mateus do Maranhão,MA,352694,429291
São Pedro da Água Branca,MA,104439,127634
São Pedro dos Crentes,MA,70880,83552
São Raimundo das Mangabeiras,MA,600856,739661
São Raimundo do Doca Bezerra,MA,40147,43968
São Roberto,MA,46135,45779
São Vicente Ferrer,MA,136735,145781
Satubinha,MA,80415,93100
Senador Alexandre Costa,MA,94679,101851
Senador La Rocque,MA,172230,187168
Serrano do Maranhão,MA,61896,72464
Sítio Novo,MA,189741,221539
Sucupira do Norte,MA,105294,126237
Sucupira do Riachão,MA,41030,48010
Tasso Fragoso,MA,2231685,2351452
Timbiras,MA,174673,196385
Timon,MA,2084617,2320942
Trizidela do Vale,MA,272343,525551
Tufilândia,MA,50783,60071
Tuntum,MA,348282,365257
Turiaçu,MA,262720,295967
Turilândia,MA,179052,223113
Tutóia,MA,473472,546267
Urbano Santos,MA,213627,247541
Vargem Grande,MA,378418,433576
Viana,MA,456542,490490
Vila Nova dos Martírios,MA,137206,156939
Vitória do Mearim,MA,259353,318224
Vitorino Freire,MA,266159,325567
Zé Doca,MA,456381,567166
Acauã,PI,62584,73561
Agricolândia,PI,43349,47283
Água Branca,PI,218514,243971
Alagoinha do Piauí,PI,67200,65442
Alegrete do Piauí,PI,55057,48184
Alto Longá,PI,119487,130955
Altos,PI,476989,537774
Alvorada do Gurguéia,PI,74585,82125
Amarante,PI,182047,192592
Angical do Piauí,PI,66750,66748
Anísio de Abreu,PI,92246,98945
Antônio Almeida,PI,133082,143815
Aroazes,PI,55335,57305
Aroeiras do Itaim,PI,25690,24625
Arraial,PI,44231,48922
Assunção do Piauí,PI,55220,64266
Avelino Lopes,PI,89540,97601
Baixa Grande do Ribeiro,PI,1229454,1768579
