Ano,Codigo do municipio,Municipio,UF,Região,Capital,Crítico,Faixa populacional,IN042,IN043,IN044,IN001,IN005,IN006,IN009,IN010,IN048,IN049,IN053,IN054,IN050,IN020,IN021,IN025,IN026,IN027,IN029,IN035,IN051,IN040,IN041,IN046,IN047
2020,1100015,Alta Floresta D Oeste,RO,Norte,Não,Sim,1 - De 1 até 30.000 hab.,"0,12",15,5,"100,0",,,"26,90","0,3","11,98","0,00","0,00",,,"73,8","21,9",,"18,5","0,0","0,0",,36,"1,5","0,0",0,
2020,1100023,Ariquemes,RO,Norte,Não,Sim,3 - De 100.001 até 250.000 hab.,"0,97",22,7,"27,3",,,"66,48","0,9","29,15","25,79","1,06","0,04",,"81,9","20,4","4,9","4,9","0,0","0,0",,65,"0,7","0,0",0,11
2020,1100031,Cabixi,RO,Norte,Não,Não,1 - De 1 até 30.000 hab.,"0,11",15,7,,,,"0,00","0,0","0,00","0,00","0,00",,,"84,9","0,0",,,,,,4,"7,5","0,0",0,
2020,1100056,Cerejeiras,RO,Norte,Não,Não,1 - De 1 até 30.000 hab.,"55,19",0,0,"100,0",,,"197,40","2,9","122,48","0,00","122,48",,,"72,2","25,4",,,,,,1,"0,0","0,0",0,
2020,1100064,Colorado do Oeste,RO,Norte,Não,Sim,1 - De 1 até 30.000 hab.,"56,99",0,0,,,,"0,00","0,0","0,00","0,00","0,00",,,"40,9","0,0",,,,,,0,"0,0","0,0",0,
2020,1100072,Corumbiara,RO,Norte,Não,Não,1 - De 1 até 30.000 hab.,"0,21",3,2,"100,0",,,"33,33","0,2","25,83","0,00","0,00",,,"87,5","8,7",,,,,,2,"0,9","0,0",0,
2020,1100080,Costa Marques,RO,Norte,Não,Sim,1 - De 1 até 30.000 hab.,"69,18",0,0,,,,"0,00","0,0","0,00","0,00","0,00",,,"24,6","0,0",,"0,0","0,0","0,0",,0,"2,7","0,0",0,
2020,1100098,Espigão D Oeste,RO,Norte,Não,Sim,2 - De 30.001 até 100.000 hab.,"0,64",8,3,"100,0",,,"174,99","2,9","87,59","0,00","87,59",,,"70,9","64,5",,"1,3","4,7","0,0",,22,"0,0","0,0",0,
2020,1100114,Jaru,RO,Norte,Não,Sim,2 - De 30.001 até 100.000 hab.,"0,60",20,10,"100,0",,,"32,35","0,5","17,81","0,00","14,84",,,"48,1","3,9",,"0,0","0,0","0,0",,18,"3,7","0,0",0,
2020,1100122,Ji-Paraná,RO,Norte,Não,Sim,3 - De 100.001 até 250.000 hab.,"14,91",1,0,"44,4",,,"140,06","1,9","42,77","42,77","42,77","1,00","0,00","61,3","8,3",,"8,9","0,0","0,0",,2,"0,0","0,0",0,
2020,1100130,Machadinho D Oeste,RO,Norte,Não,Não,2 - De 30.001 até 100.000 hab.,"0,27",9,4,,,,"0,00","0,0","0,00","0,00","0,00",,,"83,5","8,5",,,,,,3,"0,0","0,0",0,
2020,1100155,Ouro Preto do Oeste,RO,Norte,Não,Sim,2 - De 30.001 até 100.000 hab.,"0,46",30,8,"100,0",,,"5,44","0,1","2,05","0,00","0,00",,,"73,7","10,5","7,1","28,6","0,0","0,0",,93,"0,9","0,0",0,
2020,1100189,Pimenta Bueno,RO,Norte,Não,Sim,2 - De 30.001 até 100.000 hab.,"0,30",17,6,"21,1",,,"51,16","0,7","24,66","17,09","17,09","1,00",,"10,0","9,6",,"0,0","10,9","0,0",,21,"9,4","0,0",0,
