Ano,Codigo do municipio,Municipio,UF,Código da região,Código do orgão responsável pela gestão,Nome do orgão responsável pela gestão,Sigla,Abrangência,Natureza jurídica do órgão municipal responsável,,IN001,IN002,IN003,IN004,IN005,IN006,IN007,IN008,IN010,IN011,IN015,IN016,IN014,IN017,IN018,IN019,IN021,IN022,IN023,IN024,IN025,IN026,IN027,IN028,IN029,IN030,IN031,IN032,IN053,IN034,IN035,IN038,IN039,IN040,IN054,IN036,IN037,IN041,IN042,IN043,IN044,IN045,IN046,IN047,IN048,IN051,IN052
2020,520005,Abadia de Goiás,GO,5,52000540,Secretaria de Obras,SEMOBI,Local,Administração pública direta,Res. Sólidos ,"6,50","27.631,79","2,84","0,00",,"179,51","100,00","0,00","4,65",,"69,55","78,26","78,26","0,00","1.602,92","1,06","1,45",,"170,27","50,33","16,28","81,01",,"1,54",,,,,,,,,,,,"0,99","0,07","0,00",,,,"4,23","48,96","65,12",,"0,91","13,95"
2020,310020,Abaeté,MG,3,31002040,Prefeitura Municipal de Abaeté,PMA,Local,Administração pública direta,Res. Sólidos ,"6,09","2.268,29","0,80","0,00",,"13,82","100,00","0,00","3,25",,"98,92","99,06","96,58","0,00","2.204,47","0,59","1,12",,,,"9,76",,,"0,99",,,,,,,,,,,,,,"0,00",,,,"1,49",,"24,39",,"0,59","9,76"
2020,150010,Abaetetuba,PA,1,15001040,SECRETARIA MUNICIPAL DE OBRAS E VIAÇÃO DE ABAETETUBA,SEMOB,Local,Administração pública direta,Res. Sólidos ,"1,00","59.723,04","0,56","75,66",,"59,99","73,40","26,60","6,38",,"58,17","81,41","75,00","70,00","2.215,12","0,48","0,91","0,87","136,40","75,81","47,87","48,85","6,48","0,92","239,28",,"0,62","2,05",,,,,,,,"1,79","0,20","0,00",,"65,87","0,96","0,18","6,00","18,09","0,05","0,15","14,89"
2020,410010,Abatiá,PR,4,41001040,PREFEITURA ABATIÁ,PMA,Local,Administração pública direta,Res. Sólidos ,"2,93","56.118,34","4,26","48,93","100,00","164,18","87,50","12,50","18,75","164,18","97,87","99,98","80,54","30,30","1.309,45","1,28","1,52","1,02","223,95","75,90","43,75",,"13,00","1,15",,"36,57","2,53","14,08","6,46","38,96","12,99","19,48","15,58","12,99","31,82","0,55","0,04","0,00",,,,"0,73","22,40","25,00",,"0,37","12,50"
2020,420005,Abdon Batista,SC,4,42000540,SECRETARIA DE URBANISMO,SURB,Local,Administração pública direta,Res. Sólidos ,"11,51","16.392,86","0,52",,"38,90","188,69","75,00","25,00",,"73,40","50,00","100,00","100,00","100,00",,,"0,92",,,,,,,"0,50",,"100,00","6,44","21,58",,,,,,,"56,12","9,86","1,07",,,,,,,,,,
2020,420010,Abelardo Luz,SC,4,42001040,Prefeitura Municipal de Abelardo Luz,pmabl,Local,Administração pública direta,Res. Sólidos ,"0,99","47.500,00","0,75","100,00","8,21","47,26","60,00","40,00","0,00","3,88","55,96","100,00","100,00","98,44","2.555,91","0,40","0,87","0,86","148,44","100,00","40,00",,"1,59","0,87",,,,,,,,,,,,"1,64","0,19",,,,,"0,00","0,00","0,00",,"0,60","60,00"
2020,150013,Abel Figueiredo,PA,1,15001340,"SECRETARIA MUNICIPAL DE OBRAS, TRANSPORTE E URBANISMO",SMOTU,Local,Administração pública direta,Res. Sólidos ,"2,70","27.066,67","2,33","100,00",,"73,13","0,00","100,00","0,00",,"100,00","100,00","63,04","100,00","805,11","0,60","0,41","0,22","477,38","98,77","22,22","7,94","66,67","0,37",,,,,,,,,,,,,,"100,00",,,,"0,90","0,00","33,33",,"1,05","38,89"
2020,310030,Abre Campo,MG,3,31003040,PREFEITURA MUNICIPAL DE ABRE CAMPO,PMAC,Local,Administração pública direta,Res. Sólidos ,"6,26","30.586,26","3,94","0,00","2,27","191,32","100,00","0,00",,"4,35","81,82","99,27","81,59","0,00",,,"0,48",,"426,33","39,39",,"3,08",,"0,32","13,60","81,59","53,85","95,19",,,,,,,"135,98","0,34","0,07",,,,,,"60,61",,,,
2020,260005,Abreu e Lima,PE,2,26000540,Prefeitura Municipal de Abreu e Lima,PMAL,Local,Administração pública direta,Res. Sólidos ,"1,56","38.919,62","3,26","100,00","5,13","60,88","0,69","99,31","3,47","3,13","97,07","100,00","30,00","100,00","1.502,76","0,84","1,08","0,75","61,41","39,68","53,47","41,42","35,67","1,02","184,68",,"1,42","5,57",,"41,33","29,24","29,43","0,00","0,00",,"1,25","0,12","100,00","100,00","37,41","3,54","0,46","31,05","29,17","0,51","0,22","13,89"
2020,170025,Abreulândia,TO,1,17002540,Prefeitura Municipal de Abreulândia,PMA,Local,Administração pública direta,Res. Sólidos ,"7,50","14.443,74","1,11",,,"108,26","100,00","0,00",,,"61,72","100,00","100,00","0,00",,,"0,58",,,,,"142,73",,"0,58",,,,,,,,,,,,,,,,,,,,,,,
