Código do município,Município,UF,Código da região,Código do prestador de serviços,Nome do prestador de serviços,Sigla,Abrangência,,,IN003,IN026,IN027,IN004,IN005,IN006,IN012,IN029,IN007,IN008,IN030,IN031,IN032,IN033,IN034,IN035,IN036,IN037,IN038,IN039,IN040,IN041,IN042,IN054,IN018,IN019,IN102,IN048,IN002,IN045,IN101,IN060,IN055,IN023,IN001,IN043,IN011,IN009,IN010,IN044,IN057,IN052,IN025,IN053,IN014,IN017,IN022,IN058,IN020,IN028,IN013,IN049,IN050,IN051,IN056,IN024,IN047,IN015,IN016,IN046,IN021,IN059,IN071,IN072,IN073,IN074,IN077,IN082,IN083,IN079,IN075,IN080,IN076,IN085,IN084,IN061,IN062,IN063,IN064,IN068,IN065,IN069,IN066,IN067
220005,Acauã,PI,2,22110000,Águas e Esgotos do Piauí S/A,AGESPISA,Regional,Sociedade de economia mista com administração pública,Água,8.62,6.79,893.28,3.67,3.67,,42.6,-3.49,63.75,91229.21,184.95,44.76,149.67,0,2.98,24.2,80.93,4.78,10.63,1.61,95.92,,04.08,54.86,05.02,126.2,125.2,2.39,422,2.39,46.95,0.93,25.88,96.94,01.01,91.07,0,95.78,63.55,91.35,0,69.57,11.63,7.73,7.37,10.97,89.97,0.33,7.4,98.73,1.27,30.43,9.68,112.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
220010,Agricolândia,PI,2,22110000,Águas e Esgotos do Piauí S/A,AGESPISA,Regional,Sociedade de economia mista com administração pública,Água,8.72,6.68,966.66,3.79,3.79,,43.48,-14.58,54.91,473795.05,176.1,102.19,126.29,0,3.42,58.03,71.71,23.35,0.87,1.94,95.74,,4.26,180.03,1.85,683.48,679.43,1.19,844.67,1.19,52.88,0.61,80.16,98.92,01.01,94.55,41.55,84.56,45.68,74.91,0,60.98,16.12,9.83,8.71,12.06,101.69,1.91,9.99,74.82,25.18,39.02,12.18,208.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
220020,Água Branca,PI,2,22110000,Águas e Esgotos do Piauí S/A,AGESPISA,Regional,Sociedade de economia mista com administração pública,Água e Esgotos,4.77,3.28,475.44,3.46,3.77,2.59,72.45,-0.5,48.32,660254.71,95,56.96,66.69,0,3.34,59.96,70.2,21.9,0.26,3.52,74.88,18.96,6.15,233.14,3.51,1978.16,1926.77,0.44,2316.17,0.62,78.92,,97.14,98.53,01.02,92.93,13.37,87.87,41.38,77.23,0,53.59,18.91,10.13,8.9,12.3,99.58,0.87,10.57,65.07,34.93,46.41,17.71,295.24,35.77,40.47,40.47,27.39,100,27.39,06.07,,,,,,,,,23.33,0,23.33,21.43,23.33,10.71,,,,,,,,,
220025,Alagoinha do Piauí,PI,2,22110000,Águas e Esgotos do Piauí S/A,AGESPISA,Regional,Sociedade de economia mista com administração pública,Água,5.72,3.93,522.04,3.62,3.62,,63.38,-8.64,45.69,254895.05,108.36,50.73,72.08,0,03.04,46.81,66.52,27.13,0,2.81,95.34,,4.66,122.26,1.42,734.01,729.79,0.96,1043,0.96,73.88,0.71,45.06,98.56,01.01,97.03,0,83.32,33.11,74.03,0,44.72,17.62,7.88,07.01,11.08,79.26,0.95,3.56,62.87,37.13,55.28,59.7,322.08,,,,,,,,,,,,,,,,35,0,35,0,35,0,,,,,,,,,
220030,Alto Longá,PI,2,22110000,Águas e Esgotos do Piauí S/A,AGESPISA,Regional,Sociedade de economia mista com administração pública,Água,8.92,6.89,1020.91,04.07,04.07,,45.7,-4.03,63.16,394505.34,169.15,116.8,138.22,0,04.08,69.05,81.71,12.97,0.7,2.41,97.58,,2.42,88.25,2.96,472.9,470.2,1.8,559.6,1.8,49.37,01.08,31.43,60.06,01.01,91.24,0,99.64,60.5,98.36,0,61.51,16.36,10.06,9.94,12.35,103.31,0.62,09.01,75.45,24.55,38.49,14.94,208.25,,,,,,,,,,,,,,,,73.33,15.91,73.33,0,73.33,2.27,,,,,,,,,
220040,Altos,PI,2,22110000,Águas e Esgotos do Piauí S/A,AGESPISA,Regional,Sociedade de economia mista com administração pública,Água e Esgotos,6.34,4.36,626.65,3.69,3.79,2.41,58.15,-0.62,47.97,385432.01,118.23,68.18,82.5,0,3.6,57.67,69.78,23.66,0.25,03.05,89.77,4.88,5.35,245.4,8.47,881.42,873.04,0.95,1066.5,01.03,63.37,0.77,76.53,87.36,01.01,95.29,14.6,79.93,33.74,67.01,0,50.35,20.26,10.2,8.54,12.03,77.01,0.86,7.12,59.38,40.62,49.65,27.88,333.91,5.29,7.5,7.5,5.63,100,5.63,8.3,0.15,,,,,,,,8.33,0,8.33,100,8.33,40,,,,,,,,,
220050,Amarante,PI,2,22110000,Águas e Esgotos do Piauí S/A,AGESPISA,Regional,Sociedade de economia mista com administração pública,Água,6.92,4.84,765.68,4.32,4.32,,62.42,5.74,54.09,373032.87,111.99,77.91,86.66,0,3.1,69.57,77.38,16.39,0,2.77,95.14,,4.86,355.34,05.01,629.64,613.25,1.47,700.33,1.47,62.57,0.81,61.2,99.23,01.03,90.96,0,83.61,39.26,68.31,0,57.48,19.66,11.3,9.24,13.19,113.77,0.66,5.52,67.08,32.92,42.52,33.73,282.26,,,,,,,,,,,,,,,,35,0,35,0,35,4.76,,,,,,,,,
220060,Angical do Piauí,PI,2,22110000,Águas e Esgotos do Piauí S/A,AGESPISA,Regional,Sociedade de economia mista com administração pública,Água,6.45,4.36,589.43,3.72,3.72,,57.68,-4.73,55.32,331417.4,117.32,78.13,95.92,0,3.79,66.6,81.76,11.07,0.71,3.23,96.56,,3.44,107.02,2.46,687.69,679.96,1.2,844.25,1.2,63.83,0.84,81.04,98.83,01.01,93.81,0,85.15,24.72,70.01,0,35.31,26.68,9.42,7.75,11.26,96.84,0.24,10.47,42.21,57.79,64.69,36.79,574.01,,,,,,,,,,,,,,,,76.67,0,76.67,4.35,76.67,4.35,,,,,,,,,
220070,Anísio de Abreu,PI,2,22110000,Águas e Esgotos do Piauí S/A,AGESPISA,Regional,Sociedade de economia mista com administração pública,Água,8.24,6.11,742.13,04.05,04.05,,49.21,-6.62,52.96,208376.83,150.66,67.58,107.61,0,3.45,44.85,71.43,23.76,0,2.29,95.3,,4.7,274.99,4.78,393.1,391.01,1.61,626,1.61,56.07,0.91,68.76,97.05,01.01,93.72,0,79.23,32.98,48.53,0,67.96,12.63,8.59,5.26,10.12,82.57,1.28,10.73,80.13,19.87,32.04,7.14,133.8,,,,,,,,,,,,,,,,8.33,0,8.33,0,8.33,0,,,,,,,,,
220080,Antônio Almeida,PI,2,22110000,Águas e Esgotos do Piauí S/A,AGESPISA,Regional,Sociedade de economia mista com administração pública,Água,5.47,3.54,492.27,1.86,1.86,,33.92,87.96,50.01,,190.72,134.85,147.43,0,8.65,70.71,77.3,16.05,0,4.54,86.7,,13.3,503.19,,1862.23,1852.17,,,,4.8,0.91,98.52,98.79,01.01,93.57,0,90.42,45.33,95.55,0,47.44,19.14,09.08,9.1,11.58,97.52,0.38,16.94,60.52,39.48,52.56,15.73,332.53,,,,,,,,,,,,,,,,35,0,35,4.76,35,14.29,,,,,,,,,
